,Train,Test
Accuracy,0.5945178658835046,0.6584307178631051
Precision,0.3790910791097812,0.3977003719986473
Recall,0.7114777114777114,0.4772727272727273
F1 Score,0.4946315275744266,0.4338682899833979
ROC AUC,0.6834974892943939,0.6427452416468672
