ticker,date,target,future_return,pred_proba,prediction,signal_strength,recent_win_rate,recent_volatility,cumulative_return,peak,drawdown_pct,n_positions,position_size,capital_allocated,profit
AAPL,2025-01-16,1,0.0438096696223012,0.5305657,1,0.03056570000000003,0.2,0.04037137323571904,-0.1356650121258304,-0.0549715042697485,-0.07648880327998808,1,0.05,1000.0,43.8096696223012
AAPL,2025-01-17,1,0.0407861606443941,0.5305922,1,0.03059219999999996,0.3333333333333333,0.04552706528606659,-0.0948788514814363,-0.0549715042697485,-0.03782789113276729,1,0.05,1000.0,40.7861606443941
AAPL,2025-01-21,1,0.0671486965345359,0.5377806,1,0.03778060000000005,0.42857142857142855,0.052062457547413635,-0.0277301549469004,-0.0277301549469004,0.0,1,0.05,1000.0,67.1486965345359
AAPL,2025-01-22,1,0.0543715423767835,0.53517354,1,0.03517353999999995,0.5,0.05242735482425114,0.026641387429883104,0.026641387429883104,0.0,1,0.05,1000.0,54.3715423767835
AAPL,2025-01-23,0,0.0194491599966473,0.53621924,1,0.036219239999999986,0.5555555555555556,0.049334756237572705,0.046090547426530404,0.046090547426530404,0.0,1,0.05,1000.0,19.4491599966473
AAPL,2025-01-24,1,0.0449770285960008,0.53755844,1,0.03755843999999997,0.6,0.04819057741375251,0.09106757602253121,0.09106757602253121,0.0,1,0.05,1000.0,44.9770285960008
AAPL,2025-01-27,0,0.0113547493111623,0.54099214,1,0.040992139999999955,0.6363636363636364,0.04572262002980081,0.1024223253336935,0.1024223253336935,0.0,1,0.05,1000.0,11.3547493111623
AAPL,2025-01-28,0,-0.0211532790403481,0.5361518,1,0.036151799999999956,0.5833333333333334,0.04447299435148442,0.0812690462933454,0.1024223253336935,-0.019187999511843325,1,0.05,1000.0,-21.1532790403481
AAPL,2025-01-29,0,-0.0490056108230565,0.53331214,1,0.033312140000000046,0.5384615384615384,0.04530285684473849,0.0322634354702889,0.1024223253336935,-0.0636406649712651,1,0.05,1000.0,-49.0056108230565
AAPL,2025-01-30,0,-0.0407832810514591,0.5344657,1,0.034465700000000044,0.5,0.045035326914987864,-0.0085198455811702,0.1024223253336935,-0.10063490947653157,1,0.05,1000.0,-40.7832810514591
AAPL,2025-01-31,0,-0.0132382845098471,0.5339348,1,0.03393480000000004,0.4666666666666667,0.04351947400723883,-0.0217581300910173,0.1024223253336935,-0.11264326979873385,1,0.05,1000.0,-13.2382845098471
AAPL,2025-02-03,1,0.0400001075587952,0.5361253,1,0.03612530000000003,0.5,0.04330203707883273,0.0182419774677779,0.1024223253336935,-0.07635943678883222,1,0.05,1000.0,40.0001075587952
AAPL,2025-02-04,1,0.0386407426662263,0.53331214,1,0.033312140000000046,0.5294117647058824,0.04290219206167549,0.0568827201340042,0.1024223253336935,-0.04130867468227737,1,0.05,1000.0,38.6407426662263
AAPL,2025-02-05,1,0.0533356973061589,0.5343105,1,0.03431050000000002,0.5555555555555556,0.043256895756559395,0.1102184174401631,0.1102184174401631,0.0,1,0.05,1000.0,53.3356973061589
AAPL,2025-02-06,1,0.0493901905630255,0.5314456,1,0.03144559999999996,0.5789473684210527,0.043194138133001235,0.1596086080031886,0.1596086080031886,0.0,1,0.05,1000.0,49.3901905630255
AAPL,2025-02-07,1,0.0769195909659778,0.54591346,1,0.04591345999999996,0.6,0.04474685104492485,0.23652819896916638,0.23652819896916638,0.0,1,0.05,1000.0,76.91959096597779
AAPL,2025-02-10,1,0.0798594229234874,0.5362561,1,0.03625610000000001,0.65,0.04430806832458475,0.3163876218926538,0.3163876218926538,0.0,1,0.05,1000.0,79.8594229234874
AAPL,2025-02-11,1,0.055584234640211,0.5274299,1,0.027429900000000007,0.7,0.04230919132569515,0.3719718565328648,0.3719718565328648,0.0,1,0.05,1000.0,55.584234640211
AAPL,2025-02-12,1,0.0431882776438679,0.53476715,1,0.03476714999999997,0.75,0.03926425228866192,0.4151601341767327,0.4151601341767327,0.0,1,0.05,1000.0,43.1882776438679
